Parameters,Average Fitness
"(('crossover', <function cycle_crossover at 0x00000249F3FD09D0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",4044.6666666666665
"(('crossover', <function cycle_crossover at 0x00000249F3FD09D0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",4045.6
"(('crossover', <function fast_order_mapped_crossover at 0x00000249F3FD08B0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",3938.733333333333
"(('crossover', <function fast_order_mapped_crossover at 0x00000249F3FD08B0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",3894.5333333333333
"(('crossover', <function fast_order_mapped_crossover at 0x00000249F3FD08B0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",3965.866666666667
"(('crossover', <function fast_order_mapped_crossover at 0x00000249F3FD08B0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",3930.8
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",4039.5333333333333
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",3987.0
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",3952.6666666666665
"(('crossover', <function cycle_crossover at 0x00000249F3FD09D0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",4016.4666666666667
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",4077.133333333333
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",4066.9333333333334
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",4081.8
"(('crossover', <function cycle_crossover at 0x00000249F3FD09D0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",4055.6666666666665
"(('crossover', <function fast_order_mapped_crossover at 0x00000249F3FD08B0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",3961.5333333333333
"(('crossover', <function cycle_crossover at 0x00000249F3FD09D0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",4036.0666666666666
"(('crossover', <function fast_order_mapped_crossover at 0x00000249F3FD08B0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",3982.866666666667
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",4080.5333333333333
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",4103.533333333334
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",4059.9333333333334
"(('crossover', <function fast_order_mapped_crossover at 0x00000249F3FD08B0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",3968.6666666666665
"(('crossover', <function fast_order_mapped_crossover at 0x00000249F3FD08B0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",3953.0
"(('crossover', <function fast_order_mapped_crossover at 0x00000249F3FD08B0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",3946.3333333333335
"(('crossover', <function cycle_crossover at 0x00000249F3FD09D0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",4050.2
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",4065.4666666666667
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",4032.4666666666667
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",4075.133333333333
"(('crossover', <function cycle_crossover at 0x00000249F3FD09D0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",4095.0666666666666
"(('crossover', <function cycle_crossover at 0x00000249F3FD09D0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",4061.6
"(('crossover', <function fast_order_mapped_crossover at 0x00000249F3FD08B0>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",3859.266666666667
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",4087.8
"(('crossover', <function fast_order_mapped_crossover at 0x00000249F3FD08B0>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",3908.0
"(('crossover', <function fast_order_mapped_crossover at 0x00000249F3FD08B0>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",3853.0666666666666
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",4060.0
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",4079.3333333333335
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",4055.3333333333335
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",4065.866666666667
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",4083.5333333333333
"(('crossover', <function cycle_crossover at 0x00000249F3FD09D0>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",4029.5333333333333
"(('crossover', <function cycle_crossover at 0x00000249F3FD09D0>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",3973.0
"(('crossover', <function cycle_crossover at 0x00000249F3FD09D0>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",4057.2
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",4045.133333333333
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",4087.9333333333334
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",4079.8
"(('crossover', <function fast_order_mapped_crossover at 0x00000249F3FD08B0>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",3976.9333333333334
"(('crossover', <function fast_order_mapped_crossover at 0x00000249F3FD08B0>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",3975.4666666666667
"(('crossover', <function cycle_crossover at 0x00000249F3FD09D0>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",4050.6
"(('crossover', <function fast_order_mapped_crossover at 0x00000249F3FD08B0>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",3938.266666666667
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",4107.533333333334
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",4058.4666666666667
"(('crossover', <function cycle_crossover at 0x00000249F3FD09D0>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",4030.6666666666665
"(('crossover', <function cycle_crossover at 0x00000249F3FD09D0>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",4061.0
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",4093.0666666666666
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",4096.066666666667
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",4101.6
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 5), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function rank_selection at 0x00000249F3FD0310>))",4116.933333333333
